                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8667,                 2.8372,                 1.2824,                0.40143,                0.43922,                 0.4627,                0.17095,                 2.5205,                 2.0442,                 1.1401,                      0,                      0,                      0
                      2,                 2.9336,                 2.9302,                 1.2854,                0.40433,                0.43922,                0.46424,                 0.1705,                 2.5227,                 2.0446,                 1.1433,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      3,                 2.8226,                 2.7962,                 1.2693,                 0.4058,                0.43922,                0.46346,                 0.1746,                 2.5208,                 2.0567,                  1.144,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      4,                 2.9193,                 2.8702,                 1.3268,                0.40288,                0.43922,                 0.4598,                0.17284,                 2.5212,                 2.0607,                 1.1441,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      5,                 2.6891,                 3.0088,                  1.358,                0.40138,                 0.4549,                0.46972,                0.17468,                 2.5084,                 2.0074,                 1.1373,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      6,                 2.8236,                 2.8054,                 1.3228,                0.39333,                0.46275,                0.47311,                0.17561,                 2.5025,                 1.9576,                 1.1326,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 2.8731,                 2.6437,                 1.3178,                    0.4,                0.47059,                0.47951,                0.18162,                 2.4844,                  1.853,                 1.1261,             0.00011644,             0.00011644,             0.00011644
                      8,                 2.8278,                 2.5179,                 1.2967,                0.40667,                0.47843,                0.49288,                0.18552,                 2.4731,                   1.76,                  1.118,             0.00013515,             0.00013515,             0.00013515
                      9,                 2.6151,                 2.4529,                 1.2697,                0.41333,                0.48627,                0.50701,                0.19356,                 2.4534,                 1.6487,                 1.1104,             0.00015366,             0.00015366,             0.00015366
                     10,                   2.79,                 2.4358,                 1.2802,                0.41667,                 0.4902,                0.50923,                0.19579,                 2.4369,                 1.5456,                 1.1031,             0.00017198,             0.00017198,             0.00017198
                     11,                 2.8465,                 2.3168,                  1.238,                0.63032,                0.44132,                0.52662,                0.19883,                 2.4196,                 1.4395,                 1.0979,              0.0001901,              0.0001901,              0.0001901
                     12,                 2.7362,                 2.0725,                 1.2041,                0.68804,                0.40392,                0.52583,                0.20307,                 2.3998,                 1.3435,                 1.0903,             0.00020802,             0.00020802,             0.00020802
                     13,                 2.7355,                 1.9166,                 1.1893,                0.68368,                0.40392,                0.53103,                 0.2004,                 2.3978,                 1.2673,                 1.0903,             0.00022574,             0.00022574,             0.00022574
                     14,                 2.7777,                 1.8274,                 1.1768,                0.67686,                0.41176,                0.53521,                0.20387,                 2.3974,                 1.2057,                 1.0888,             0.00024327,             0.00024327,             0.00024327
