                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9428,                 2.0298,                 1.3709,                0.47752,                0.48922,                0.44356,                0.22997,                 1.6918,                 1.7206,                 1.3541,             0.00066228,             0.00066228,             0.00066228
                      2,                 1.7505,                 1.5608,                 1.2891,                0.57479,                0.58557,                0.55185,                0.31054,                 1.6406,                 2.3829,                 1.3391,              0.0013224,              0.0013224,              0.0013224
                      3,                 1.7321,                 1.5221,                 1.2644,                0.52346,                0.56789,                0.52289,                0.29341,                 1.6681,                 1.7481,                  1.372,              0.0019759,              0.0019759,              0.0019759
                      4,                 1.6962,                 1.4553,                 1.2562,                 0.5975,                0.59668,                0.59023,                0.32919,                  1.599,                 1.5312,                 1.3228,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.6536,                  1.399,                 1.2381,                0.61142,                0.58835,                0.60814,                0.35759,                 1.5033,                 1.5137,                 1.2523,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.6204,                 1.3526,                 1.2137,                0.59307,                 0.5722,                0.59609,                0.34806,                 1.5349,                 1.4004,                 1.2545,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.5858,                  1.331,                 1.1959,                0.60813,                0.60022,                0.62121,                0.36702,                 1.4865,                 1.4403,                 1.2497,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.5716,                 1.3538,                 1.1917,                 0.6125,                0.59052,                0.61433,                0.36776,                 1.4907,                 1.2791,                 1.2344,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.5623,                 1.2944,                 1.1723,                0.60676,                0.60129,                0.61909,                0.37275,                 1.4967,                 1.3197,                 1.2225,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.5466,                 1.2895,                 1.1748,                0.57902,                0.59914,                 0.5986,                0.35188,                 1.4844,                 1.5799,                 1.2227,              0.0019109,              0.0019109,              0.0019109
