                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6858,                 4.0643,                 2.1652,                      0,                      0,                      0,                      0,                 4.6225,                 4.8438,                 2.2959,                      0,                      0,                      0
                      2,                 3.4785,                 3.9751,                 2.0389,                      0,                      0,                      0,                      0,                 4.5985,                 4.8393,                 2.2798,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      3,                 3.8466,                 4.0697,                 2.1875,                      0,                      0,                      0,                      0,                 4.5239,                  4.835,                  2.257,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      4,                 4.1657,                 4.1519,                 2.2456,                      0,                      0,                      0,                      0,                 4.4581,                 4.8351,                 2.2358,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      5,                 3.7361,                 4.0899,                 2.3651,                      0,                      0,                      0,                      0,                  3.915,                 4.5849,                 1.9433,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      6,                 3.3495,                  3.197,                 2.0681,                0.02333,                  0.125,                0.01428,                  0.005,                 3.4388,                 4.1474,                 1.7404,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 3.6499,                 2.3925,                 1.8083,                0.06667,                0.35714,                0.05914,                0.01891,                 3.0644,                 3.0149,                 1.5116,             0.00011644,             0.00011644,             0.00011644
                      8,                 2.9544,                 1.8483,                 1.6953,                0.22512,                0.26786,                 0.1682,                0.05582,                 2.7699,                  2.191,                 1.3922,             0.00013515,             0.00013515,             0.00013515
                      9,                 2.5266,                 1.7727,                 1.5667,                0.26814,                0.48214,                 0.2795,                0.08776,                 2.6518,                 1.6953,                 1.2849,             0.00015366,             0.00015366,             0.00015366
                     10,                 2.5074,                 1.5968,                 1.3979,                0.24654,                0.44643,                0.22532,                0.07408,                 2.6297,                 2.2648,                  1.228,             0.00017198,             0.00017198,             0.00017198
                     11,                 2.5333,                 1.4778,                 1.3133,                 0.2049,                0.26786,                0.17325,                0.04122,                 3.3707,                  4.291,                   1.36,              0.0001901,              0.0001901,              0.0001901
                     12,                 2.2345,                 1.4127,                 1.2157,                0.11229,                0.14286,                0.04086,                0.00626,                 4.1052,                 3.1968,                 1.7728,             0.00020802,             0.00020802,             0.00020802
                     13,                  2.154,                 1.3354,                 1.3082,                0.18241,                   0.25,                0.10802,                0.01755,                 3.8676,                 5.8201,                 1.7113,             0.00022574,             0.00022574,             0.00022574
                     14,                  2.331,                 1.2143,                 1.2185,                0.10306,                0.32143,                0.10693,                0.01898,                 3.7547,                 12.295,                 1.6823,             0.00024327,             0.00024327,             0.00024327
                     15,                  1.966,                 1.2042,                 1.1632,                0.28413,                0.60714,                0.28946,                0.05829,                 3.0849,                 7.7639,                 1.4325,              0.0002606,              0.0002606,              0.0002606
                     16,                  1.713,                 1.1466,                 1.1328,                0.37573,                0.62338,                0.46226,                0.17585,                  2.159,                 3.8573,                 1.1562,             0.00027773,             0.00027773,             0.00027773
                     17,                  1.646,                 1.1115,                 1.1361,                0.51093,                0.83948,                0.74553,                0.38316,                  1.643,                 4.1353,                 1.0322,             0.00029466,             0.00029466,             0.00029466
                     18,                 2.0802,                  1.381,                 1.1515,                0.51093,                0.83948,                0.74553,                0.38316,                  1.643,                 4.1353,                 1.0322,             0.00031139,             0.00031139,             0.00031139
                     19,                 1.8325,                 1.1342,                   1.13,                0.52124,                0.83929,                0.74033,                0.37842,                 1.6785,                  4.282,                 1.0223,             0.00032792,             0.00032792,             0.00032792
                     20,                 2.2029,                 1.1488,                 1.1281,                0.52124,                0.83929,                0.74033,                0.37842,                 1.6785,                  4.282,                 1.0223,             0.00034426,             0.00034426,             0.00034426
